target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other
berkleymich.org/,berkleymich.org,,,,,,,,,
www.berkshireny.net/,berkshireny.net,,,,,,,,,
berkshireplanning.org/,berkshireplanning.org,,,,,,,,,
berkshiretwp.org/,berkshiretwp.org,,,,,,,,,
berlinnj.org/,berlinnj.org,,,,,,,,,
berlintwp.com/,berlintwp.com,,,,,,,,,
berlinvt.org/,berlinvt.org,,,,,,,,,
bernards.org/,bernards.org,,,,,,,,,
www.bernardsvilleboro.org/,bernardsvilleboro.org,,,,,,,,,
bernicela.org/,bernicela.org,,,,,,,,,
berriencounty.org/,berriencounty.org,,,,,,,,,
berryhilltn.org/,berryhilltn.org,,,,,,,,,
berwickborough.org/,berwickborough.org,,,,,,,,,
www.berwickmaine.org/,berwickmaine.org,,,,,,,,,
#N/A,berwicktownship.com,,,,,,,,,
www.berwyn-heights.com,berwyn-heights.com,,,,,,,,,
bessemercity.com/,bessemercity.com,,,,,,,,,
bethalto.com/,bethalto.com,,,,,,,,,
www.bethanymo.com/,bethanymo.com,,,,,,,,,
www.bethelmaine.org/pages/index,bethelmaine.org,,,,,,,,,
www.bethelpark.net/,bethelpark.net,,,,,,,,,
